rowID,file,Study_Name,Site_Name,PH,PH_Collection_Method,PH_mean,Organic_Carbon__percent,OC_mean,C.N_ratio,CN_mean,Sand__percent,Silt__percent,Clay__percent,sand_silt_clay_mean,ph_new,PHIHOX,CLYPPT,SLTPPT,SNDPPT,CECSOL,ORCDRC,phFinal,ClayFinal,SandFinal,SiltFinal,OCFinal,ESA,bio10_1,bio10_4,bio10_7,bio10_12,bio10_15,elevation,SnowMonths,SnowMonths_cat,Aridity,PETyr,PET_SD,SpeciesRichness,SpeciesRichnessUnit,Site_WetBiomass,Site_WetBiomassUnits,Site_Biomassm2,logBiomass,Site_Abundance,Site_AbundanceUnits,Sites_Abundancem2,logAbundance
1,000_Akulova2017,Komi_Reg,Priluz_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.383056478,19.83056478,40.67109635,40.16611296,30.72757475,10.91727575,5.383056478,19.83056478,40.16611296,40.67109635,10.91727575,Herbaceous,2.3,10763,38.8,574,34,119,6,4plus,10836,562,47.74556351,2,Number of species,NA,NA,NA,NA,16.8,Individuals per m2,16.8,2.879198457
2,000_Akulova2017,Komi_Reg,Priluz_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.383056478,17.66112957,36.84053156,45.66445183,25.89368771,7.18372093,5.383056478,17.66112957,45.66445183,36.84053156,7.18372093,Broadleaf deciduous forest,2.3,10767,38.8,574,34,118,6,4plus,10836,562,47.74556351,4,Number of species,NA,NA,NA,NA,48.4,Individuals per m2,48.4,3.899950424
3,000_Akulova2017,Komi_Reg,Sysol_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.115614618,16.32890365,40.84385382,42.66112957,23.58803987,7.268770764,5.115614618,16.32890365,42.66112957,40.84385382,7.268770764,Herbaceous,1.9,10750,38.9,536,33,126,5,4plus,10805,559,48.0719223,6,Number of species,NA,NA,NA,NA,56.8,Individuals per m2,56.8,4.056988776
4,000_Akulova2017,Komi_Reg,Sysol_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.332225914,18.32890365,41.67774086,40.15946844,27.40531561,6.17641196,5.332225914,18.32890365,40.15946844,41.67774086,6.17641196,Needleleaf evergreen forest,1.8,10737,38.9,561,33,146,5,4plus,10954,555,47.84545517,4,Number of species,NA,NA,NA,NA,54.4,Individuals per m2,54.4,4.014579594
5,000_Akulova2017,Komi_Reg,Sysol_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.382724252,19.32890365,43.34551495,37.1627907,26.73754153,6.695348837,5.382724252,19.32890365,37.1627907,43.34551495,6.695348837,Production - Herbaceous,1.8,10736,38.9,556,32,147,5,4plus,10843,557,47.85126114,5,Number of species,NA,NA,NA,NA,122.4,Individuals per m2,122.4,4.815431111
6,000_Akulova2017,Komi_Reg,Ust_Vym_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.23255814,14.66445183,40.6744186,44.66445183,27.06976744,4.501328904,5.23255814,14.66445183,44.66445183,40.6744186,4.501328904,Herbaceous,1,10870,39.5,537,30,120,6,4plus,10851,540,47.72839737,3,Number of species,NA,NA,NA,NA,57,Individuals per m2,57,4.060443011
7,000_Akulova2017,Komi_Reg,Ust_Vym_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.23255814,13.66112957,41.00664452,45.66445183,29.25581395,4.109966777,5.23255814,13.66112957,45.66445183,41.00664452,4.109966777,Mixed forest,1,10860,39.5,557,30,127,5,4plus,10870,540,47.72839737,3,Number of species,NA,NA,NA,NA,27.2,Individuals per m2,27.2,3.339321978
8,000_Akulova2017,Komi_Reg,Ust_Vym_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.23255814,13.66112957,41.00664452,45.66445183,29.25581395,4.109966777,5.23255814,13.66112957,45.66445183,41.00664452,4.109966777,Broadleaf deciduous forest,1,10860,39.5,557,30,127,5,4plus,10870,540,47.72839737,1,Number of species,NA,NA,NA,NA,1.2,Individuals per m2,1.2,0.78845736
9,000_Akulova2017,Komi_Reg,Ust_Vym_4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.23255814,13.66112957,41.00664452,45.66445183,29.25581395,4.109966777,5.23255814,13.66112957,45.66445183,41.00664452,4.109966777,Needleleaf evergreen forest,1,10860,39.5,557,30,127,5,4plus,10870,540,47.72839737,1,Number of species,NA,NA,NA,NA,4.8,Individuals per m2,4.8,1.757857918
10,000_Akulova2017,Komi_Reg,Ust_Vym_5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.23255814,13.66112957,41.00664452,45.66445183,29.25581395,4.109966777,5.23255814,13.66112957,45.66445183,41.00664452,4.109966777,Needleleaf evergreen forest,1,10860,39.5,557,30,127,5,4plus,10870,540,47.72839737,1,Number of species,NA,NA,NA,NA,3.2,Individuals per m2,3.2,1.435084525
