"Online-only Table 2: Information captured in the data template, relating to site-level information.",,,,
,,,,
Field,Format,Possible Values,Information,Required field (*)
File ,Text,,Unique ID for each article. Assigned to all studies within a single publication,*
Study_Name,Text,,Unique ID for each study. Assigned to all sites within a single study,*
Site_Name,Text,,Unique ID given to each site. A site that is sampled in different studies will have the same ID,*
Observational,Multiple choice,Observation; Experimental,"Was the data from an observational study or an experimental study. Experimental studies may be unrealistic in their treatments, and are often over a smaller area (resulting in similar/identical coordinates)",*
Latitude (decimal degrees) ,Numerical,,The latitude of the site (in decimal degrees only),*
Longitude (decimal degrees),Numerical,,The longitude of the site (in decimal degrees only),
Altitude (m),Numerical,,The altitude of the site (in metres only),
Country,Text,,The country the site was in (as given by data collector),*
Sample_StartDate_Month ,Integer,01. Dec,The month the sampling started,
Sample_StartDate_Year,Integer,Less than 2018,The year the sampling started,*
Sample_EndDate_Month,Integer,01. Dec,The month the sampling ended,
Sample_EndDate_Year,Integer,Less than 2018,The year the sampling ended,
ExtractionMethod,Multiple choice,"Visual search, Hand sorting, Chemical extraction (Mustard), Chemical extraction (Formalin), Octet Method (electric shock), Hand sorting + Chemical extraction (Mustard), Hand sorting + Chemical Extraction (Formalin), Other, Other Multiple, Unknown",The methodology used to sample the earthworms,*
Sampled Area ,Numerical,,The area over which sample(s) were taken. Typically the size of the quadrat or soil block,*
Sampled Area Unit,Multiple choice,"cm2, cm3, m2, m3, Unknown, Other",The unit of the sampled area,*
Sampling Effort,Numerical,,The number of times the site was sampled to obtain the earthworm community metric(s) provided,*
pH,Numerical,,Sampled pH of the site,At least one of the following variables was required: pH or pH Collection Method
pH Collection Method ,Multiple choice,"H2O, KCl, CaCl2, Other, Unknown",The suspension solvent used in the measurement,At least one of the following variables was required: pH or pH Collection Method
pH_mean,Multiple choice,Yes / no,Denotes whether the value given for the pH is a mean from individual values across a depth profile,
CEC,Numerical,,The Cation Exchange Capacity of the site,
CEC_unit,Text,,The unit of the CEC measurement,
XXX_mean,Multiple choice,Yes / no,Denotes whether the value given for the pH is a mean from individual values across a depth profile,
Base Saturation(%),Numerical,,The base saturation of the site,
BaseSaturation_mean,Multiple choice,Yes / no,Denotes whether the value given for the base saturation is a mean from individual values across a depth profile,
Organic Carbon (%),Numerical,,The organic carbon content of the soil at the site,
OC_mean,Multiple choice,Yes / no,Denotes whether the value given for the organic carbon is a mean from individual values across a depth profile,
Soil Organic Matter (%),Numerical,,The soil organic matter content at the site,
SOM_mean,Multiple choice,Yes / no,Denotes whether the value given for the soil organic matter is a mean from individual values across a depth profile,
C/N ratio,Numerical,,The carbon to nitrogen ratio at the site,
CN_mean,Multiple choice,Yes / no,Denotes whether the value given for the carbon:nitrogen ratio is a mean from individual values across a depth profile,
Sand (%) / Silt (%) / Clay (%),Numerical,,"The percentage of sand, silt and clay at the site",
Sand_silt_clay_mean,Multiple choice,Yes / no,"Denotes whether the value given for the percentage of sand, silt and clay is a mean from individual values across a depth profile",
USDA_SoilTexture,Multiple choice,"clay, sandy clay, sandy clay loam, clay loam, loam, sandy loam, loamy sand, sand, silt clay, silty clay loam, silt loam, silt",The texture of the soil at the site,
Soil Moisture(%),Numerical,,The soil moisture at the site,
