file,Study_Name,Site_Name,Observational,Latitude_decimal_degrees,Longitude_decimal_degrees,Altitude__m,Country,Sample_StartDate_Month,Sample_StartDate_Year,Sample_EndDate_Month,Sample_EndDate_Year,ExtractionMethod,Sampled_Area,Sampled_Area_Unit,Sample_Effort,PH,PH_Collection_Method,PH_mean,CEC,CEC_unit,CEC_mean,Base_Saturation_percent,BaseSaturation_mean,Organic_Carbon__percent,OC_mean,Soil_Organic_Matter__percent,SOM_mean,C.N_ratio,CN_mean,Sand__percent,Silt__percent,Clay__percent,sand_silt_clay_mean,USDA_SoilTexture,Soil_Moisture_percent,WRB_FAO_SoilType,LandUse,HabitatCover,Management_System,Tillage,Pesticide,Fertilizer,Selectively_harvested,Clear_cut,Fire,Grazing_all_year,Rotation,Monoculture,Planted,Habitat_as_described,SpeciesRichness,SpeciesRichnessUnit,Site_WetBiomass,Site_WetBiomassUnits,Site_Abundance,Site_AbundanceUnits
000_Akulova2017,Komi_Reg,Priluz_1,Experimental,60.339,49.568,NA,Russia,NA,2007,NA,2007,Hand sorting,0.25,m2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Secondary vegetation,Herbaceous,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Floodplain,2,Number of species,NA,NA,16.8,Individuals per m2
000_Akulova2017,Komi_Reg,Priluz_2,Experimental,60.341,49.591,NA,Russia,NA,2007,NA,2007,Hand sorting,0.25,m2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Secondary vegetation,Broadleaf deciduous forest,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Betula sp., VaccÃ­nium myrtÃ­llus",4,Number of species,NA,NA,48.4,Individuals per m2
000_Akulova2017,Komi_Reg,Sysol_1,Experimental,60.952,49.461,NA,Russia,NA,2008,NA,2008,Hand sorting,0.25,m2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Secondary vegetation,Herbaceous,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Poaceae,6,Number of species,NA,NA,56.8,Individuals per m2
000_Akulova2017,Komi_Reg,Sysol_2,Experimental,60.956,49.437,NA,Russia,NA,2008,NA,2008,Hand sorting,0.25,m2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Secondary vegetation,Needleleaf evergreen forest,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Picea sp., VaccÃ­nium myrtÃ­llus",4,Number of species,NA,NA,54.4,Individuals per m2
000_Akulova2017,Komi_Reg,Sysol_3,Experimental,60.954,49.448,NA,Russia,NA,2008,NA,2008,Hand sorting,0.25,m2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Production - Arable,Cropland,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Garden,5,Number of species,NA,NA,122.4,Individuals per m2
000_Akulova2017,Komi_Reg,Ust_Vym_1,Experimental,62.372,50.102,NA,Russia,NA,2003,NA,2006,Hand sorting,0.25,m2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Secondary vegetation,Herbaceous,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,3,Number of species,NA,NA,57,Individuals per m2
000_Akulova2017,Komi_Reg,Ust_Vym_2,Experimental,62.36,50.05,NA,Russia,NA,2003,NA,2006,Hand sorting,0.25,m2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Secondary vegetation,Mixed forest,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Picea sp., Betula sp.",3,Number of species,NA,NA,27.2,Individuals per m2
000_Akulova2017,Komi_Reg,Ust_Vym_3,Experimental,62.36,50.05,NA,Russia,NA,2003,NA,2006,Hand sorting,0.25,m2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Secondary vegetation,Broadleaf deciduous forest,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Populus tremula,1,Number of species,NA,NA,1.2,Individuals per m2
000_Akulova2017,Komi_Reg,Ust_Vym_4,Experimental,62.36,50.05,NA,Russia,NA,2003,NA,2006,Hand sorting,0.25,m2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Secondary vegetation,Needleleaf evergreen forest,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pinus sp.,1,Number of species,NA,NA,4.8,Individuals per m2
000_Akulova2017,Komi_Reg,Ust_Vym_5,Experimental,62.36,50.05,NA,Russia,NA,2003,NA,2006,Hand sorting,0.25,m2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Secondary vegetation,Needleleaf evergreen forest,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Picea sp., VaccÃ­nium myrtÃ­llus",1,Number of species,NA,NA,3.2,Individuals per m2
